gov_name,state,pop_tot,rev_fines,rev_prop_tax,rev_tot,rev_gen_ownsource
LAWRENCEBURG CITY,IN,4983,1088910,4831830.000000001,96447900.00000001,24564300.000000004
GAS CITY CITY,IN,5983,1390830.0000000002,3145740.0000000005,17764440.000000004,7980900.000000001
LOWELL TOWN,IN,9423,1086690,4363410.000000001,12931500.000000002,8927730.000000002
CLINTON CITY,IN,4791,521700.00000000006,795870.0000000001,4963920,2888220.0000000005
HAGERSTOWN TOWN,IN,1646,570540.0000000001,503940.00000000006,5269170,1910310.0000000002
HERINGTON CITY,KS,2194,274170,916860.0000000001,7330440.000000001,3228990.0000000005
WATHENA CITY,KS,1297,146520,194250.00000000003,2448660.0000000005,935730.0000000001
GRANDVIEW PLAZA CITY,KS,2214,225330,146520,1153290.0000000002,748140.0000000001
MISSION CITY,KS,9490,1556220,1660560.0000000002,17609040,12977010.000000002
WESTWOOD CITY,KS,1747,183150,630480,2365410.0000000005,2307690
LAKE QUIVIRA CITY,KS,987,113220.00000000001,416250.00000000006,805860.0000000001,805860.0000000001
EASTBOROUGH CITY,KS,742,175380.00000000003,613830,1188810.0000000002,881340
YATES CENTER CITY,KS,1257,134310,459540,2577420,1396380
KINDER TOWN,LA,2574,394050,157620,5320230.000000001,2357640.0000000005
MOREAUVILLE VILLAGE,LA,859,66600.00000000001,21090.000000000004,942390.0000000001,288600
OIL CITY TOWN,LA,990,134310,95460.00000000001,2288820,1014540.0000000001
IOWA TOWN,LA,3179,456210.00000000006,175380.00000000003,4587630,3406590
VINTON TOWN,LA,3367,869130.0000000001,54390.00000000001,10140960.000000002,4507710
STONEWALL TOWN,LA,2180,227550,0,967920.0000000001,838050.0000000001
BATON ROUGE-EAST BATON ROUGE CITY-PARISH,LA,228694,39458280.00000001,176541060.00000003,1068144120.0000001,843306960.0000001
MAMOU TOWN,LA,3203,452880.00000000006,215340.00000000003,40551630.00000001,27674520.000000004
GRETNA CITY,LA,17832,4915080.000000001,6737700.000000001,40148700.00000001,26917500.000000004
WESTWEGO CITY,LA,8545,1762680,1527360.0000000002,19079790,10034400.000000002
GOLDEN MEADOW TOWN,LA,1827,650460,208680,2609610,1919190.0000000002
OLLA TOWN,LA,1363,280830.00000000006,44400.00000000001,1829280.0000000002,1144410
DENHAM SPRINGS CITY,LA,10278,1433010.0000000002,233100.00000000003,31450740,21215430
KILLIAN TOWN,LA,1108,69930,173160.00000000003,387390.00000000006,267510.00000000006
FRENCH SETTLEMENT VILLAGE,LA,1405,127650,0,354090.00000000006,255300
LIVONIA TOWN,LA,1849,618270.0000000001,41070,2170050,1192140
GLENMORA TOWN,LA,1231,250860,17760,1809300.0000000002,1129980
KROTZ SPRINGS TOWN,LA,990,197580,267510.00000000006,1519590.0000000002,1147740
PEARL RIVER TOWN,LA,2504,366300,139860,2981460,2562990.0000000005
TICKFAW VILLAGE,LA,715,341880.00000000006,42180.00000000001,1006770.0000000001,840270.0000000001
TERREBONNE CONSOLIDATED GOVERNMENT,LA,34052,6061710.000000001,60732540.00000001,521576790.00000006,341985450
BRUSLY TOWN,LA,2675,370740,0,2947050,2844930.0000000005
TAKOMA PARK CITY,MD,17567,2521920,12958140.000000002,23627460.000000004,17834370.000000004
COLMAR MANOR TOWN,MD,1635,281940,1143300.0000000002,1807080.0000000002,1557330.0000000002
COTTAGE CITY TOWN,MD,1209,580530.0000000001,663780.0000000001,1447440,1296480
FOREST HEIGHTS TOWN,MD,2549,1748250.0000000002,1176600.0000000002,3751800,3053610
LANDOVER HILLS TOWN,MD,1890,2007990.0000000002,597180.0000000001,2999220.0000000005,2806080.0000000005
LAUREL CITY,MD,25703,3837270.0000000005,21542880,32407560,27979770.000000004
MORNINGSIDE TOWN,MD,1436,833610.0000000001,976800.0000000001,2204460,2021310.0000000002
RIVERDALE PARK TOWN,MD,7221,1177710,5040510,7492500.000000001,6509040.000000001
SEAT PLEASANT CITY,MD,4721,540570,3124650,5109330.000000001,4446660.000000001
OCEAN CITY TOWN,MD,7041,951270.0000000001,47237160,119885550.00000001,97382520
CAMBRIDGE CITY,MA,108757,12035730.000000002,334632810.00000006,1630199280,1240522680.0000002
BOSTON CITY,MA,658279,71838090.00000001,1858093380.0000002,4692149820,2429236110.0000005
FRASER CITY,MI,14620,1490730,10512810.000000002,24446640.000000004,19444980.000000004
FERNDALE CITY,MI,20167,3800640.0000000005,18808950,53031360.00000001,33248940.000000004
HIGHLAND PARK CITY,MI,10978,1461870.0000000002,7399260,34286790,20465070.000000004
MELVINDALE CITY,MI,10437,1258740,6272610.000000001,19214100.000000004,12735030
ROMULUS CITY,MI,23457,2726160.0000000005,17461410,44993850.00000001,31720470
FLOWOOD CITY,MS,8532,1561770.0000000002,5457870.000000001,34651980,14567640.000000002
SELIGMAN CITY,MO,1118,117660.00000000001,18870,719280.0000000001,518370
LAKE WINNEBAGO CITY,MO,1211,267510.00000000006,608280.0000000001,1976910,1502940
BILLINGS CITY,MO,1007,113220.00000000001,71040,822510.0000000001,601620
CLAYCOMO VILLAGE,MO,1528,543900.0000000001,338550,2668440,2614050
NORTH KANSAS CITY CITY,MO,4321,603840,1821510.0000000002,529484430.00000006,516958080.00000006
PLEASANT VALLEY CITY,MO,3043,424020.00000000006,43290.00000000001,3154620.0000000005,3031410.0000000005
PILOT GROVE CITY,MO,700,108780.00000000001,209790.00000000003,1990230.0000000002,1568430
BOURBON CITY,MO,1700,334110,119880.00000000001,1424130,1098900
FAYETTE CITY,MO,2705,339660,122100.00000000001,1411920,1233210
DUENWEG CITY,MO,1216,83250.00000000001,14430.000000000002,848040.0000000001,377400.00000000006
DUQUESNE VILLAGE,MO,1809,291930,0,1915860.0000000002,1506270.0000000002
HERCULANEUM CITY,MO,3831,471750.00000000006,444000.00000000006,8924400.000000002,4902870.000000001
CONWAY CITY,MO,936,85470.00000000001,0,539460,408480
MOSCOW MILLS CITY,MO,2565,287490,200910.00000000003,2439780,1896990.0000000002
WINFIELD CITY,MO,1715,175380.00000000003,43290.00000000001,920190,728160.0000000001
NOEL CITY,MO,1963,216450.00000000003,117660.00000000001,2073480,1944720.0000000002
PINEVILLE CITY,MO,778,313020.00000000006,32190.000000000004,2975910.0000000005,1106670
BELLA VILLA CITY,MO,846,591630,11100.000000000002,975690,924630.0000000001
BRECKENRIDGE HILLS CITY,MO,4707,596070,214230.00000000003,2477520.0000000005,2164500
COOL VALLEY CITY,MO,1210,258630,255300,956820,831390.0000000001
CREVE COEUR CITY,MO,18072,2126760,2798310.0000000005,23669640.000000004,15234750.000000002
EDMUNDSON CITY,MO,855,257520.00000000003,115440.00000000001,1946940.0000000002,973470.0000000001
FERGUSON CITY,MO,21035,2473080.0000000005,1831500.0000000002,19702500,11280930
FLORISSANT CITY,MO,52218,3599730.0000000005,638250,37329300,16364730.000000002
FRONTENAC CITY,MO,3527,654900.0000000001,1300920,888e4,8464860
MAPLEWOOD CITY,MO,7948,1178820.0000000002,2550780,17096220,7434780.000000001
MOLINE ACRES CITY,MO,2409,804750.0000000001,264180,2388720.0000000005,2194470.0000000005
NORTHWOODS CITY,MO,4199,592740,878010.0000000001,4103670,3485400
PINE LAWN CITY,MO,3423,2095680.0000000002,45510.00000000001,3896100.0000000005,3540900
ST ANN CITY,MO,12931,4025970.0000000005,227550,13243410.000000002,11686080.000000002
ST JOHNS CITY,MO,6459,1253190,1580640,6947490.000000001,6644460.000000001
TOWN AND COUNTRY CITY,MO,11001,1505160,818070,14917290,13536450
VINITA PARK CITY,MO,1885,265290,132090,2262180.0000000005,1688310.0000000002
MARYLAND HEIGHTS CITY,MO,27359,6672210.000000001,3454320,53101290.00000001,37441410
MINER CITY,MO,1018,202020,76590,2301030,2087910.0000000002
SEYMOUR CITY,MO,1909,289710.00000000006,29970.000000000004,2153400,2070150
LONGPORT BOROUGH,NJ,1006,102120,6808740.000000001,8836710.000000002,8194020
AVALON BOROUGH,NJ,1421,184260.00000000003,21558420.000000004,31415220,29099760.000000004
NORTH WILDWOOD CITY,NJ,3943,682650.0000000001,19086450,27596820.000000004,26194890.000000004
SEA ISLE CITY,NJ,1905,336330.00000000006,16757670.000000002,29829030.000000004,25198110
WILDWOOD CITY,NJ,5192,527250,19326210.000000004,38778960.00000001,28754550.000000004
EAST NEWARK BOROUGH,NJ,2717,293040,1713840.0000000002,3301140.0000000005,2423130
BELMAR BOROUGH,NJ,5715,1032300.0000000002,9126420,22072350.000000004,19430550.000000004
DEAL BOROUGH,NJ,708,256410.00000000003,6033960.000000001,10982340,9663660.000000002
ENGLISHTOWN BOROUGH,NJ,2189,239760.00000000003,1266510.0000000002,2758350.0000000005,2064600.0000000005
SEA BRIGHT BOROUGH,NJ,1333,307470,4350090,6787650.000000001,6591180
LAKE COMO BOROUGH,NJ,1463,398490,2923740.0000000005,4935060,4097010
BEACH HAVEN BOROUGH,NJ,1022,230880.00000000003,7369290.000000001,11694960.000000002,10278600
POINT PLEASANT BEACH BOROUGH,NJ,4594,1390830.0000000002,8036400.000000001,18021960.000000004,14890650.000000002
SEASIDE HEIGHTS BOROUGH,NJ,2881,1933620.0000000002,5183700.000000001,22580730.000000004,13518690
SEASIDE PARK BOROUGH,NJ,1635,651570,6224880,14189130.000000002,12029070.000000002
SHIP BOTTOM BOROUGH,NJ,880,133200.00000000003,4616490.000000001,8166270,6928620.000000001
LINDEN CITY,NJ,41595,4565430,59531520.00000001,103775010.00000001,69481560.00000001
GLOBE CITY,AZ,7369,737040.0000000001,584970,18047490,12577410.000000002
GREAT NECK ESTATES VILLAGE,NY,2820,426240,7535790.000000001,9345090,9073140.000000002
LYNBROOK VILLAGE,NY,19584,2131200.0000000005,29208540,35960670.00000001,34555410
EAST HAMPTON VILLAGE,NY,1220,680430.0000000001,12486390.000000002,20806950,17554650
QUOGUE VILLAGE,NY,820,88800.00000000001,6813180,8322780.000000001,8056380.000000001
SAG HARBOR VILLAGE,NY,2132,317460.00000000006,5947380,9856800.000000002,8514810.000000002
SOUTHAMPTON VILLAGE,NY,3211,519480,19872330,26258160.000000004,24588720
BRONXVILLE VILLAGE,NY,6395,1014540.0000000001,8909970.000000002,14987220.000000002,13849470.000000002
WHITE PLAINS CITY,NY,57925,9124200,54882840.00000001,195276750.00000003,170376120.00000003
BEDFORD CITY,OH,12782,1913640,6330330.000000001,35881860,27836580
BEREA CITY,OH,18949,2166720.0000000005,4358970,33904950.00000001,27157260.000000004
BRATENAHL VILLAGE,OH,1203,545010.0000000001,1582860.0000000002,4388940.000000001,4211340
LYNDHURST CITY,OH,13736,1810410,4812960,21475170.000000004,16001760.000000002
SHAKER HEIGHTS CITY,OH,27773,3210120.0000000005,8479290,58261680.00000001,48859980
VALLEY VIEW VILLAGE,OH,623,59940.00000000001,132090,327450.00000000006,197580
CHARDON CITY,OH,5194,1494060.0000000002,1243200,14319000.000000002,11317560.000000002
LOCKLAND VILLAGE,OH,3435,753690,444000.00000000006,4736370.000000001,3785100.0000000005
OAK HILL VILLAGE,OH,1890,168720.00000000003,179820.00000000003,1085580.0000000002,359640.00000000006
KIRTLAND HILLS VILLAGE,OH,717,107670.00000000001,853590,2590740.0000000005,1935840.0000000002
WILLOUGHBY CITY,OH,22495,2696190,4549890,41906940,36027270.00000001
OBERLIN CITY,OH,8353,1082250,1189920,30278580,14144730.000000002
VANDALIA CITY,OH,15127,1688310.0000000002,2284380,33292230.000000004,26648880
TIFFIN CITY,OH,17701,1878120.0000000002,1794870.0000000002,21508470,17724480.000000004
EAST CANTON VILLAGE,OH,1506,97680,55500.00000000001,964590,479520.00000000006
BOSTON HEIGHTS VILLAGE,OH,1208,301920,518370,1979130,1926960.0000000002
PENINSULA VILLAGE,OH,615,67710.00000000001,120990.00000000001,1325340.0000000002,1062270
STOW CITY,OH,34746,3658560.0000000005,8257290.000000001,45316860,31603920.000000004
CARLISLE VILLAGE,OH,5125,535020.0000000001,220890.00000000003,4403370.000000001,3837270.0000000005
BRYAN CITY,OH,8480,852480,477300.00000000006,44280120,16446870.000000002
CADDO TOWN,OK,1120,213120,0,1185480,831390.0000000001
CALERA TOWN,OK,2627,519480,0,2466420,1969140
COLBERT TOWN,OK,1329,156510.00000000003,0,1899210.0000000002,1042290.0000000002
MOUNDS TOWN,OK,1181,96570.00000000001,0,407370.00000000006,370740
WEST SILOAM SPRINGS TOWN,OK,985,737040.0000000001,0,2384280,1881450.0000000002
SEILING CITY,OK,863,241980.00000000003,0,2190030,1381950
NORTH ENID TOWN,OK,1091,231990,0,629370,603840
WAUKOMIS TOWN,OK,1368,178710,53280,798090,601620
MINCO CITY,OK,1450,160950.00000000003,0,1468530.0000000002,1052280.0000000002
RUSH SPRINGS TOWN,OK,1265,119880.00000000001,0,1003440,361860
NINNEKAH TOWN,OK,1113,98790,0,375180,355200.00000000006
HOWE TOWN,OK,983,63270,0,190920.00000000003,173160.00000000003
MEEKER TOWN,OK,1231,123210.00000000001,0,1252080.0000000002,845820
DIBBLE TOWN,OK,977,24420,0,73260,66600.00000000001
CHOUTEAU TOWN,OK,2128,263070.00000000006,0,2832720.0000000005,1728270.0000000002
SALINA TOWN,OK,1305,134310,0,1794870.0000000002,1097790.0000000002
SULPHUR CITY,OK,5042,508380.00000000006,0,2801640.0000000005,2697300
WELEETKA CITY,OK,825,127650,0,874680.0000000001,561660.0000000001
LUTHER TOWN,OK,1237,400710.00000000006,0,1125540.0000000002,912420.0000000001
VALLEY BROOK TOWN,OK,804,1042290.0000000002,0,1376400,1359750.0000000002
FOREST PARK TOWN,OK,1079,216450.00000000003,0,725940,693750.0000000001
VIAN CITY,OK,1336,195360,0,1730490.0000000002,1044510
TEXHOMA TOWN,OK,799,98790,0,1479630,673770.0000000001
PORT ORFORD CITY,OR,1243,156510.00000000003,412920,1847040.0000000002,1278720
COBURG CITY,OR,1194,170940.00000000003,1101120.0000000002,3880560.0000000005,1813740.0000000002
AURORA CITY,OR,1289,159840,566100,1579530.0000000002,1233210
NORTH PLAINS CITY,OR,2072,280830.00000000006,355200.00000000006,2570760,1162170
NEW HOPE BOROUGH,PA,2385,351870,717060.0000000001,3988230.0000000005,3149070
WEST CHESTER BOROUGH,PA,19434,2586300,5134860.000000001,29166360.000000004,26163810
NEW ELLENTON TOWN,SC,2350,164280,386280.00000000006,720390.0000000001,680430.0000000001
FOLLY BEACH CITY,SC,2732,818070,2342100.0000000005,7866570.000000001,6570090
FORT LAWN TOWN,SC,951,173160.00000000003,72150,497280.00000000006,497280.00000000006
CHESTERFIELD TOWN,SC,1426,153180,552780.0000000001,3681870.0000000005,2015760.0000000002
MCBEE TOWN,SC,811,104340,34410.00000000001,904650.0000000001,293040
SUMMERTON TOWN,SC,1013,113220.00000000001,112110.00000000001,2457540.0000000005,832500.0000000001
TURBEVILLE TOWN,SC,1013,216450.00000000003,61050.00000000001,1757130,1112220
COTTAGEVILLE TOWN,SC,851,367410,0,681540.0000000001,462870.00000000006
SOCIETY HILL TOWN,SC,586,147630.00000000003,11100.000000000002,1018980.0000000001,327450.00000000006
SCRANTON TOWN,SC,755,21090.000000000004,0,143190.00000000003,21090.000000000004
COWARD TOWN,SC,731,33300.00000000001,0,180930,35520
SURFSIDE BEACH TOWN,SC,4195,432900.00000000006,3032520.0000000005,10491720.000000002,8824500
RIDGELAND TOWN,SC,4116,523920.00000000006,387390.00000000006,6769890,3870570
ELGIN TOWN,SC,1525,83250.00000000001,0,728160.0000000001,350760.00000000006
PELION TOWN,SC,707,73260,39960,387390.00000000006,361860
SWANSEA TOWN,SC,893,236430,215340.00000000003,1797090.0000000002,826950
SOUTH CONGAREE TOWN,SC,2272,570540.0000000001,0,1141080.0000000002,973470.0000000001
WHITMIRE TOWN,SC,1444,98790,149850.00000000003,1259850.0000000002,414030.00000000006
HOLLY HILL CITY,SC,1725,219780.00000000003,294150.00000000006,1616160,1205460
SANTEE TOWN,SC,1184,362970,563880,3745140.0000000005,2904870.0000000005
CAMPOBELLO TOWN,SC,562,96570.00000000001,194250.00000000003,348540,323010.00000000006
CHESNEE CITY,SC,782,177600.00000000003,369630.00000000006,1284270.0000000002,926850.0000000001
WELLFORD CITY,SC,2494,624930.0000000001,247530.00000000003,1308690,1265400
LANE TOWN,SC,550,52170,169830,1052280.0000000002,231990
LAKE VILLAGE CITY,AR,2674,657120,174270,4424460,3028080.0000000005
CADDO VALLEY TOWN,AR,683,166500.00000000003,76590,1276500,926850.0000000001
QUITMAN CITY,AR,823,116550.00000000001,44400.00000000001,1871460.0000000002,911310.0000000001
PLUMERVILLE CITY,AR,1031,89910.00000000001,59940.00000000001,702630.0000000001,387390.00000000006
BONO CITY,AR,2453,139860,64380.00000000001,1367520.0000000002,583860
PARKIN CITY,AR,962,155400,16650.000000000004,1196580.0000000002,525030.0000000001
MCGEHEE CITY,AR,3991,724830,167610,6557880.000000001,5090460
MAYFLOWER CITY,AR,1885,190920.00000000003,145410.00000000003,4354530.000000001,2238870.0000000005
VILONIA CITY,AR,4298,459540,129870,3591960.0000000005,2494170
GUY CITY,AR,653,158730.00000000003,32190.000000000004,385170,313020.00000000006
SWIFTON CITY,AR,670,72150,37740,478410,255300
DIAZ CITY,AR,1407,65490.00000000001,34410.00000000001,642690,304140.00000000006
LAMAR CITY,AR,1646,167610,112110.00000000001,3999330.0000000005,882450
BEARDEN CITY,AR,953,378510.00000000006,89910.00000000001,1184370.0000000002,891330
HAZEN CITY,AR,1460,156510.00000000003,99900,3063600.0000000005,1361970
MADISON CITY,AR,866,71040,18870,551670.0000000001,208680
GREENLAND CITY,AR,1516,112110.00000000001,58830.00000000001,745920.0000000001,396270.00000000006
